text,paraphrase,gpt_orig_pred,gpt_para_pred,gpt_orig_conf,gpt_para_conf,shift
"Are you are really looking at the review for LJS?  Its fried stuff, with extra fried stuff in a cardboard boat.  You will regret eating it 30 minutes after you finish, but it is delicious.","Are you seriously checking out the LJS review? It’s just fried food, piled with more fried food in a cardboard container. You'll feel regret half an hour after eating it, but it tastes amazing.",Positive,Negative,0.8,0.8,Positive → Negative
"In all fairness - I did not see this dentist but did schedule an appointment and waited 15 minutes for them to open.\n\nWhen I look at Yelp reviews, I usually weed out the outliers (the best and the worst).   Unfortunately, there are only two reviews.\n\nIt was my first time at the office.   The office admin (very nice) asked for me to come early (before 9am) to complete paperwork.   I arrived at 8:50.    I waited.   I watched 2 employees walk by me (unlocked the door and re-locked it).    They did not acknowledge me.\n\nThe door I was at had signage (open hours).    I decided to leave because of a review where the staff seemed distracted or disinterested in my presence.\n\nThe office admin (very nice) called me to inform I am missing my appointment.   I explained to her that there were too many indications where this was not going to be a good fit and wished her the best of luck.\n\nI recommend if you see this dentist you go to the front door (furthest away from the parking lot) for the entrance.\n\nPoor recommendation because the staff who walked by me seemed to be distracted which was pointed out in a previous review.","To be fair, I didn't actually see the dentist but had set up an appointment and waited 15 minutes for the office to open. When I check Yelp reviews, I usually ignore the extremes (the highest and lowest ratings). Unfortunately, there are only two reviews available.

This was my first visit to the office. The office administrator (very nice) asked me to arrive early (before 9am) to fill out paperwork. I got there at 8:50. I waited and observed as two employees walked past me, unlocking and re-locking the door, without acknowledging me.

The door I was at displayed the opening hours. I chose to leave because a review mentioned the staff seemed inattentive or uninterested in my presence.

The office administrator (very nice) called to tell me I missed my appointment. I explained that there were too many signs suggesting it wouldn't be a suitable match and wished her all the best.

I suggest that if you visit this dentist, you use the front door (furthest from the parking lot) as the entrance.

This is not a strong recommendation because the staff who passed by seemed distracted, which was also noted in a previous review.",Negative,Neutral,1.0,1.0,Negative → Neutral
This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.  This is a Starbucks to grab and go and continue your shopping at the Waterfront.\n\nBaristas are friendly and fast.,This Starbucks location is quite small!\n\nThere is VERY little seating available indoors. It's a spot where you grab your coffee and head back to your shopping at the Waterfront.\n\nThe baristas are pleasant and efficient.,Positive,Neutral,1.0,1.0,Positive → Neutral
"The food is good. Unfortunately the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are often very apologetic for the long waits and it's pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints.","The food is enjoyable, but the service can be quite inconsistent. The primary problem appears to be in the kitchen, as the servers frequently apologize for the lengthy delays, and it’s clear that some of them steer clear of the tables after taking orders to dodge complaints.",Negative,Neutral,1.0,1.0,Negative → Neutral
"Steak 'n Shake's food is pretty good and the prices aren't bad for the quantity of food. I ordered a grilled chicken salad with no dressing. The salad looked thrown together and was $5.49 for 2 croutons, tomatoes, carrots, cabbage, lettuce and chicken breast. (They forgot the cheese!) The staff wasn't very friendly or helpful and seemed like they didn't want to be there. There usually is a long wait at Steak 'n Shake, but if you catch them when they aren't busy, you will breeze through- drive-thru that is. I do like their food and you can eat healthy options, but the staff isn't helpful and the quality isn't always there.","Steak 'n Shake offers decent food, and the prices are reasonable given the portion sizes. I got a grilled chicken salad without dressing. It appeared haphazardly assembled and cost $5.49 for a few croutons, tomatoes, carrots, cabbage, lettuce, and chicken breast. (They forgot to add the cheese!) The staff wasn't very friendly or attentive and seemed uninterested in being there. There's often a long wait at Steak 'n Shake, but if you visit during a less busy time, you can quickly get through the drive-thru. I enjoy their food and appreciate the healthy options, but the service is lacking and the quality can be inconsistent.",Negative,Neutral,0.6,1.0,Negative → Neutral
"It's okay. Food is cheap but portions are small. For example I order the chicken tenders, and I got 3 little tiny tenders, and a decent amount of fries. Also the restaurant is not really clean either.  This restaurant is not my number 1 choice.","It's alright. The food is inexpensive, but the servings are small. For instance, when I ordered the chicken tenders, I received three very small tenders and a reasonable portion of fries. Additionally, the restaurant isn't particularly clean. This place isn't my top pick.",Negative,Neutral,1.0,1.0,Negative → Neutral
"I went here with a bachelorette party. We had reservations, which was good because it was packed that Saturday night. The performers were very talented, but the acoustics were strangely off.   The theme that ran through the whole show was, to quote some phrases they kept repeating, \""you bitch, you slut, you whore\"" and  \""twinkle twinkle little slut, why don't you take it up the butt\"" which one of the pianists wrote on the mirror at the back of the stage... You get the idea?  Perhaps if I had not been the designated driver, alcohol would have made these jokes funny the fifth, sixth, seventh time. Or maybe not.","I attended this place with a bachelorette party. Thankfully, we had reservations because the venue was crowded that Saturday night. The performers were quite skilled, but the sound quality was unexpectedly poor. The entire show revolved around a theme highlighted by repeated phrases like ""you bitch, you slut, you whore"" and ""twinkle twinkle little slut, why don't you take it up the butt,"" which one of the pianists had written on the mirror at the back of the stage... You get the picture? Perhaps if I weren't the designated driver, drinking might have made these jokes amusing by the fifth, sixth, or seventh time. Or perhaps not.",Neutral,Negative,1.0,1.0,Neutral → Negative
"Waterfront Lowe's beats Monroeville Lowe's for lawn and garden.  Hate to admit it, but it's true.","The lawn and garden section at Waterfront Lowe's is better than the one at Monroeville Lowe's. I reluctantly acknowledge this, but it's accurate.",Negative,Positive,0.8,1.0,Negative → Positive
"Chuckie Cheese for grown ups...Yeah, that could sum up my review for sure (but I'll try to make it a bit more interesting than that).\n\nFirst let me say that this isn't my first trip to a Dave & Buster's.  Second, I actually experience all of it while here.  We will start with the food/service.  Staff, you were wonderful.  You were polite, you greeted us as soon as we walked in the door, gave us no qualms while ordering and were swift with your delivery.  Food, you were not wonderful.  I ordered the BBQ chicken breasts.  This came with a side of broccoli and their type of mashed potatoes.  The chicken was a bit dry and in some places you can tell it was left on the grill a little too long.  There were actually some bites that all I could taste was charred meat.  There wasn't enough BBQ sauce on the the chicken either.  The broccoli appeared to have been cooked prior and then thrown back into a pan to be seared.  Some of my broccoli actually had some burnt crisp areas on it.  Also I noticed that there were still some leaves left on the broccoli.  The mashed potatoes I wanted to like (which I hoped would be the best part of the dish, I'm a bit of a potato freak), but alas, I was let down. *sad face* They were cold and such a tiny portion.  With a tiny amount of shredded cheese and bacon but into that divot they made with the scoop to get it out of it's container.  Oh food, how if I didn't need you to survive, I wouldn't complain about you.\n\nThe building right now is in disarray.  They are in the midst of a remodel with lovely plastic curtains covering up certain sections of their dining area.  No bar out in the dining area right now and the pool tables were absent as well.  If you wanted a drink you had to go back into the game room.\n\nSpeaking of the game room, by far the best part.  With the meal I ordered I got the $20 play card (the best part of the meal, super charge it for $3 more and it's even better).  The game room  you can tell is in need of an update.  The carpet is worn and other signs of wear are noticeable as well.  One good thing is the games.  They change them up so often that there is always something new once you return.  Who knew that playing Connect 4 could be so fun, or for that matter Skee Ball rises to the top of my list to play.\n\nI will return again, but only after I eat elsewhere first.","Chuckie Cheese for adults... Yep, that pretty much captures my review (though I'll try to make it a tad more engaging). 

To start, this isn't my first visit to Dave & Buster's. Also, I've had the full experience here. Let's begin with the food and service. The staff was fantastic. They were courteous, greeted us as soon as we walked in, had no issues with our order, and delivered it promptly. The food, however, was not fantastic. I ordered the BBQ chicken breasts, which came with a side of broccoli and their version of mashed potatoes. The chicken was somewhat dry and seemed over-grilled in some areas, with some bites tasting solely of charred meat. There wasn't enough BBQ sauce on the chicken either. The broccoli seemed pre-cooked and then reheated in a pan, as it had some burnt spots and still had a few leaves on it. I wanted to enjoy the mashed potatoes (as a potato enthusiast, I hoped they'd be the highlight of the meal), but I was disappointed. They were cold and came in a small portion, with just a sprinkle of shredded cheese and bacon in the indentation made by the scoop. Oh food, if only I didn't need you to survive, I wouldn't grumble about you.

Currently, the building is in a state of disorder. They're undergoing renovations, with plastic curtains covering parts of the dining area. There's no bar in the dining area right now, and the pool tables are missing too. To get a drink, you have to go to the game room.

Speaking of the game room, it's definitely the highlight. With my meal, I got the $20 play card (the best part of the meal, and for $3 more you can supercharge it and make it even better). The game room clearly needs an update. The carpet is worn, and other signs of wear are evident too. However, the games are a plus. They change them frequently, so there's always something new when you come back. Who would've thought playing Connect 4 could be so enjoyable, or that Skee Ball would become one of my top choices?

I'll visit again, but only after I've eaten somewhere else first.",Negative,Neutral,0.8,1.0,Negative → Neutral
"DAVE & BUSTERS!  It's a nice place to eat, have fun and drink!!  All ages can enjoy this place.  I was so EXCITED to hear them announce that after 10p, all children whether accompanied by a guardian or not had to go!  It made for a nice evening for adults only.  \n\nEverytime we go whether we play or not we enjoy ourselves.  I didn't give it FOUR STARS because every time I've went I haven't been able to eat in the restaurant area of there.  I know I still get the same food that everyone else does wherever you sit.  Sometimes, I like the nice relaxing atmosphere of the restaurant.  I haven't as of yet, been seated there.  \n\nNot to mention that the servers around the bar, are a little slow at responding to customers as well.  So all in all, D&B's is a good spot to stop at for food and entertainment.  Just don't expect to be seated in the restaurant portion, and expect to wait awhile for food service in the bar area.","DAVE & BUSTERS! It's a great spot for dining, entertainment, and drinks! People of all ages can enjoy this venue. I was thrilled to hear the announcement that after 10 p.m., all children, whether with a guardian or not, had to leave! This created a pleasant adults-only evening. 

Whenever we visit, whether we play games or not, we always have a good time. I couldn't give it FOUR STARS because each time I've visited, I haven't been able to dine in their restaurant area. I understand that the food is consistent no matter where you sit, but sometimes I prefer the calm atmosphere of the restaurant. So far, I haven't been seated there. 

Additionally, the bar servers are somewhat slow in attending to customers. Overall, D&B's is a solid choice for food and fun. Just don't anticipate being seated in the restaurant section, and be prepared for a wait for service in the bar area.",Positive,Neutral,1.0,1.0,Positive → Neutral
