text,label,paraphrase,similarity,llm_valid,gpt_orig_labels,gpt_para_labels,mis_orig_labels,mis_para_labels,gpt_orig_conf,gpt_para_conf,mis_orig_conf,mis_para_conf,gpt_orig_pred,gpt_para_pred,mis_orig_pred,mis_para_pred,gpt_flip,mis_flip
"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank.",4,"Dr. Goldberg possesses all the qualities I seek in a general practitioner. He's friendly and approachable without being condescending, consistently punctual with his appointments, and connected to a prestigious hospital (NYU), which my parents have emphasized as crucial if surgery is ever needed. Plus, referrals to specialists are accessible without requiring an initial visit with him. Honestly, what more could you ask for? As I sit here, I can't think of any criticisms about him; I'm truly at a loss.",0.8515856,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.",1,"Regrettably, being a patient of Dr. Goldberg is just as frustrating as my experiences with numerous other doctors in NYC—excellent doctor, but the staff is terrible. His team seems to never pick up the phone. It usually takes about 2 hours of persistent calling before someone finally answers. Who has the time or the patience for that? I've encountered this issue with many other doctors, and I simply don't understand it. You have staff, you have patients in need, so why isn't anyone picking up the phone? It's baffling and not worth the hassle. It's with a heavy heart that I feel compelled to rate Dr. Goldberg 2 stars.",0.94968337,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life.",3,"I've been seeing Dr. Goldberg for more than a decade now, likely being among his initial patients when he joined MHMG. Throughout the years, he has been excellent and truly focuses on the overall picture. Thanks to him, not my previous gynecologist Dr. Markoff, I discovered I have fibroids. He carefully considers all options with you and shows great patience and understanding. He is non-judgmental and knows exactly the right questions to ask. He's extremely thorough and wants to stay informed about every detail of your medical health and personal life.",0.919402,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  \n\nI think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a date!,3,Received a letter last week informing me that Dr. Goldberg is relocating to Arizona for a new job in June. He will be greatly missed. Finding a doctor in NYC that you actually like might be nearly as dreadful as searching for a date!,0.95387936,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Neutral', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,0.8,1.0,Negative,Negative,Negative,Negative,False,False
"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.",0,"I'm not sure what Dr. Goldberg was like before relocating to Arizona, but trust me, AVOID this doctor and this practice. I used to see Dr. Johnson until he left, and Goldberg took over his patients. He lacks compassion and seems focused only on collecting co-pays and insisting on monthly visits for medication refills. He doesn't provide refills and has no concern for patients' financial constraints. Obtaining a 90-day mail-order prescription from him is laughable. To add insult to injury, his office staff is inept. When you call, there's a 90% chance you'll end up in a voicemail that never gets answered or returned. After facing such frustration, my husband and adult children have chosen to leave this practice. The staff behaves as if they're doing you a favor. Seriously, give me a break! Steer clear of this doctor and this office. You deserve better, and they won’t be there when you truly need them. I've never felt the urge to write a negative review about anyone until I encountered this sorry excuse for a doctor who is solely motivated by money.",0.9298493,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come.",4,"Dr. Eric Goldberg is an excellent doctor who has accurately identified every problem my wife and I have experienced. Unlike many of our previous doctors, Dr. Goldberg is highly accessible, allowing us to quickly arrange appointments with him and his team. We are glad he's in the area and anticipate being his patients for many years ahead.",0.9710021,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an answer about my bill. \n\nSecond, and most important, make sure your insurance is going to cover Dr. Goldberg's visits and blood work. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the physical done. Later, I found out my health insurance doesn't pay for preventative visits. I received an $800.00 bill for the blood work. I can't pay for my bill because I'm a student and don't have any cash flow at this current time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative. The office can't do anything to help me cover the bill. In addition, the office staff said the onus is on me to make sure my insurance covers visits. Frustrating situation!",0,"I'm writing this review to warn you before visiting this Doctor. The office staff and administration behave very unprofessionally. I left messages with several people about my bill, and no one ever got back to me. I had to persistently contact them to get an answer regarding my bill.

Additionally, it's crucial to confirm that your insurance will cover Dr. Goldberg's visits and blood tests. He advised me to get a physical, even though I had informed him I was a student. I went through with the physical, only to later discover that my health insurance doesn't cover preventative visits. I received an $800 bill for the blood work. As a student with no current cash flow, I can't pay the bill. I can't believe the Doctor didn't alert me to ensure my insurance would cover non-essential, preventative work. The office can't assist me with the bill, and they stated it's my responsibility to verify insurance coverage for visits. It's a frustrating situation!",0.9441294,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.",1,"Wing sauce mostly consists of butter with a bit of hot sauce, like Frank's Red Hot. The whole wings are nicely sized and crispy, but at $1 per wing, the sauce could use improvement. The hot and extra hot options have similar flavor and heat levels. The fish sandwich is tasty and generously sized, and the sides are adequate.",0.953086,YES,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Neutral,Neutral,Neutral,Positive,False,True
"Decent range somewhat close to the city.  The mats are pretty solid; however, the grass range needs to be tended too.  It's like hitting out of US Open type rough...not very amenable to practicing.  Which kind of defeats the purpose of going to a golf range...Still gets 3 stars because the range is lit up at night which is excellent for those of us who are addicted to this amazing game, but are somewhat short on time (having a job kinda sucks sometimes, no?).",2,"A reasonably good range not too far from the city. The mats are quite sturdy, but the grass area requires maintenance. It feels like trying to hit out of rough as tough as the US Open's, making practice difficult. This somewhat undermines the reason for visiting a golf range. Nevertheless, it earns 3 stars since it's well-lit at night, which is great for those of us passionate about this fantastic game but pressed for time (having a job can be a hassle, right?).",0.9318609,YES,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",1.0,1.0,1.0,1.0,Neutral,Neutral,Neutral,Neutral,False,False
"This place is absolute garbage...  Half of the tees are not available, including all the grass tees.  It is cash only, and they sell the last bucket at 8, despite having lights.  And if you finish even a minute after 8, don't plan on getting a drink.  The vending machines are sold out (of course) and they sell drinks inside, but close the drawers at 8 on the dot.  There are weeds grown all over the place.  I noticed some sort of batting cage, but it looks like those are out of order as well.  Someone should buy this place and turn it into what it should be.",0,"This place is a complete disaster. Half of the tees aren't available, including every grass tee. It's cash only, and they stop selling buckets at 8, even though they have lights. Don't expect to get a drink if you finish after 8, even by a minute. The vending machines are predictably empty, and while they do sell drinks inside, they close promptly at 8. Weeds are growing everywhere. There's a batting cage, but that seems to be out of commission too. Someone should purchase this place and make it what it ought to be.",0.9528037,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction. This led to us waiting another 30 minutes for him to correct it. Don't visit this store if you want pleasant or good service.",1,"After nearly a 30-minute wait to exchange an old phone through the buyback program, our customer service representative mishandled the transaction. This resulted in an additional 30-minute wait for him to fix the mistake. Avoid this store if you're seeking pleasant or satisfactory service.",0.89916664,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"This place was DELICIOUS!!  My parents saw a recommendation to visit this place from Rick Sebak's \""25 Things I Like About Pittsburgh\"" and he's usually pretty accurate.  His recommendations were to try the Reuben, Fish Sandwich and Open-Faced Steak Sandwich.  We went early afternoon for a late lunch today (a Saturday) and were seated right away.  The staff is extremely friendly.  My Mom & I each had the fish sandwich, while my Dad & Brother had a Reuben sandwich.  The fish was very good, but the Reuben was to die for!  Both dishes were massive, and could very easily be shared between two people.  On top of being extremely large portions, it was incredibly affordable.  The giant fish sandwich was $8 and the giant Reuben was $7.50.  Our drinks were always filled and we were checked on several times during the meal.  We will definitely be back!!!  Oh and a bit of advice ahead of time - they take CASH ONLY.  So come prepared, but I'm pretty sure I saw an ATM there as well.  And I do believe they are closed on Sundays & Mondays.",4,"This place was absolutely amazing! My parents found out about it from Rick Sebak's ""25 Things I Like About Pittsburgh,"" and he's usually spot-on with his suggestions. He recommended trying the Reuben, Fish Sandwich, and Open-Faced Steak Sandwich. We went there early in the afternoon for a late lunch today (a Saturday) and were seated immediately. The staff was incredibly welcoming. My mom and I ordered the fish sandwich, while my dad and brother chose the Reuben. The fish was quite good, but the Reuben was exceptional! Both meals were huge and could easily feed two people. Besides being very generous in size, the prices were unbelievably reasonable. The large fish sandwich cost $8, and the sizable Reuben was $7.50. Our drinks were consistently refilled, and the staff checked on us multiple times during our meal. We are definitely planning to return!!! Just a heads-up – they only accept cash, so make sure to bring some, though I think I saw an ATM there. Also, I believe they are closed on Sundays and Mondays.",0.9581264,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Old school.....traditional \""mom 'n pop\"" quality and perfection. The best fish and chips you'll ever enjoy and equally superb fried shrimp. A great out of the way, non-corporate, vestige of Americana. You will love it.",4,"Classic... the timeless quality and perfection of a traditional ""mom and pop"" establishment. The finest fish and chips you'll ever savor, along with equally outstanding fried shrimp. A fantastic, off-the-beaten-path, independent slice of Americana. You'll adore it.",0.8596612,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
Good fish sandwich.,4,Tasty fish sandwich.,0.8685121,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Good beer selection. Understaffed for a light Monday night crowd, it wasn't her fault she was the only server. But it took about an hour to get our sandwiches. Mine was one of the best reubens I've ever had.",2,"The beer variety was impressive. Despite it being a light crowd on a Monday night, they were short-staffed, and it wasn't the server's fault she was alone. However, it took nearly an hour for our sandwiches to arrive. My reuben was among the best I've ever tasted.",0.9274665,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
